"campaign_id","name","state","default_bid","report_date","cost","clicks","impressions","paid_revenue","paid_orders","paid_conversions"
"61831405785792","Towel","enabled","0.48","2023-01-09","0.77","2","1389","62.58","2","2"
"61831405785792","Towel","enabled","0.48","2023-01-10","1.08","3","1210","0","0","0"
"61831405785792","Towel","enabled","0.48","2023-01-11","1.09","4","1011","0","0","0"
"61831405785792","Towel","enabled","0.48","2023-01-12","0.42","2","770","0","0","0"
"61831405785792","Towel","enabled","0.48","2023-01-13","1.23","4","693","0","0","0"
"61831405785792","Towel","enabled","0.48","2023-01-14","1.15","4","503","0","0","0"
"61831405785792","Towel","enabled","0.48","2023-01-15","1.2","4","1056","0","0","0"
"61831405785792","Towel","enabled","0.48","2023-01-16","0.84","3","917","0","0","0"
"61831405785792","Towel","enabled","0.48","2023-01-17","0.95","3","1003","0","0","0"
"61831405785792","Towel","enabled","0.48","2023-01-18","1.6","7","1154","33.61","1","1"
"61831405785792","Towel","enabled","0.48","2023-01-19","1.54","5","921","0","0","0"
"61831405785792","Towel","enabled","0.48","2023-01-20","1.11","4","1009","24.36","1","1"
"61831405785792","Towel","enabled","0.48","2023-01-21","2.04","8","823","57.63","2","2"
"61831405785792","Towel","enabled","0.48","2023-01-22","2.3","8","1960","33.26","1","1"
"61831405785792","Towel","enabled","0.48","2023-01-23","0.76","3","1049","0","0","0"
"61831405785792","Towel","enabled","0.48","2023-01-24","3.15","9","3569","103.84","3","3"
"61831405785792","Towel","enabled","0.48","2023-01-25","5.39","16","5076","99.13","3","3"
"61831405785792","Towel","enabled","0.48","2023-01-26","2.78","8","4198","85.68","4","3"
"61831405785792","Towel","enabled","0.48","2023-01-27","2.53","8","2442","30.24","1","1"
"61831405785792","Towel","enabled","0.48","2023-01-28","7.85","21","7458","24.78","1","1"
"61831405785792","Towel","enabled","0.48","2023-01-29","13.77","40","15183","96.86","3","3"
"61831405785792","Towel","enabled","0.48","2023-01-30","10.81","31","15470","123.51","4","4"
"61831405785792","Towel","enabled","0.48","2023-01-31","12.4","33","16483","67.22","2","2"
"64741409832403","Bathrobe","enabled","0.25","2023-01-09","0.69","2","449","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-10","0.71","3","673","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-11","1.06","3","765","34.45","1","1"
"64741409832403","Bathrobe","enabled","0.25","2023-01-12","0.4","1","594","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-13","0.99","3","425","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-14","0.16","1","281","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-15","0.7","3","368","31.08","1","1"
"64741409832403","Bathrobe","enabled","0.25","2023-01-16","1.1","4","436","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-17","0.15","1","557","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-18","0.78","3","288","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-19","0","0","481","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-20","0","0","238","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-21","0.58","2","399","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-22","0.99","4","712","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-23","1.13","5","335","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-24","0.51","2","293","63.51","2","2"
"64741409832403","Bathrobe","enabled","0.25","2023-01-25","1","4","202","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-26","0","0","187","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-27","0.54","2","274","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-28","1.56","6","351","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-29","0.94","4","613","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-30","1.86","8","451","0","0","0"
"64741409832403","Bathrobe","enabled","0.25","2023-01-31","1.93","8","608","60.48","2","2"
"193346537790773","Poncho","enabled","0.42","2023-01-01","11.35","21","11398","0","0","0"
"193346537790773","Poncho","enabled","0.42","2023-01-02","15.03","32","11588","153.05","6","6"
"193346537790773","Poncho","enabled","0.42","2023-01-03","8.54","22","10015","22.93","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-04","12.28","37","11690","68.29","3","3"
"193346537790773","Poncho","enabled","0.42","2023-01-05","4.52","11","9225","23.18","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-06","4.63","13","8180","72.07","3","3"
"193346537790773","Poncho","enabled","0.42","2023-01-07","4.75","13","7685","0","0","0"
"193346537790773","Poncho","enabled","0.42","2023-01-08","6.17","18","12974","22.93","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-09","4.01","13","9184","21.25","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-10","5.82","17","8002","22.68","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-11","3.89","13","11436","96.18","4","4"
"193346537790773","Poncho","enabled","0.42","2023-01-12","5.42","17","12107","135.49","5","5"
"193346537790773","Poncho","enabled","0.42","2023-01-13","2.38","8","6959","24.36","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-14","2.08","7","6949","47.71","2","2"
"193346537790773","Poncho","enabled","0.42","2023-01-15","3.82","15","7294","22.93","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-16","3.79","15","4836","24.36","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-17","2.92","11","3567","32.75","2","2"
"193346537790773","Poncho","enabled","0.42","2023-01-18","2.12","8","4541","24.36","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-19","0.95","4","4904","24.36","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-20","3.48","14","5172","79.29","4","4"
"193346537790773","Poncho","enabled","0.42","2023-01-21","1.61","6","6381","44.77","2","2"
"193346537790773","Poncho","enabled","0.42","2023-01-22","4.07","15","11339","187.76","6","6"
"193346537790773","Poncho","enabled","0.42","2023-01-23","2.57","10","7414","24.36","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-24","1.99","7","9292","24.78","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-25","3.24","12","4797","0","0","0"
"193346537790773","Poncho","enabled","0.42","2023-01-26","1.93","7","2282","22.93","1","1"
"193346537790773","Poncho","enabled","0.42","2023-01-27","1.33","4","2017","0","0","0"
"193346537790773","Poncho","enabled","0.42","2023-01-28","3.67","12","3745","51.33","2","2"
"193346537790773","Poncho","enabled","0.42","2023-01-29","5.4","17","13181","47.46","2","2"
"193346537790773","Poncho","enabled","0.42","2023-01-30","11.17","38","19957","111.97","5","5"
"193346537790773","Poncho","enabled","0.42","2023-01-31","16.23","52","13062","298.51","15","13"
